LP,IS_OK,POWOD,LOKACJA,SZCZEGOLOWA_LOKACJA,PIETRO,OZNACZENIE_REGALU,LICZBA_PIONOW,LICZBA_POLEK,WYSOKOSC,SZEROKOSC,GLEBOKOSC,POZIOM1,POZIOM2,POZIOM3,POZIOM4,POZIOM5,POZIOM6,POZIOM7,POZIOM8,POZIOM9,POZIOM10,POZIOM11,POZIOM12,NOSNOSC_KOLUMNY,NOSNOSC1,NOSNOSC2,NOSNOSC3,NOSNOSC4,NOSNOSC5,NOSNOSC6,NOSNOSC7,NOSNOSC8,NOSNOSC9,NOSNOSC10,NOSNOSC11,NOSNOSC12
17,tak,,USTRONNA,,2,PH 02-09,4,8,2000,1000,600,50,350,650,950,1250,1550,1800,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
18,tak,,USTRONNA,,2,PH 02-09,5,8,2000,1000,600,50,350,650,950,1250,1550,1800,1980,,,,,1050,150,150,150,150,150,150,150,150,,,,
19,tak,,USTRONNA,,2,PH 21-30,11,12,2000,1000,600,50,220,400,570,750,920,1100,1270,1450,1620,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
20,tak,,USTRONNA,,2,PI 01-11,11,12,2000,1000,600,50,220,400,570,750,920,1100,1270,1450,1620,1800,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
21,tak,,USTRONNA,,2,GA,4,5,2000,1000,600,100,570,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
22,tak,,USTRONNA,,2,GA,3,5,2000,1000,600,100,570,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
23,tak,,USTRONNA,,2,GF,10,7,2000,1000,600,100,450,750,1010,1280,1610,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
24,tak,,USTRONNA,,2,GH,3,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
25,tak,,USTRONNA,,2,GN 61-70,10,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
26,tak,,USTRONNA,,2,GO,9,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
27,tak,,USTRONNA,,2,RF,10,5,2000,1000,600,100,550,1000,1450,1900,,,,,,,,1050,150,150,150,150,150,,,,,,,
28,tak,liczba polek,USTRONNA,,2,GC,10,7,2000,1000,600,100,420,720,1020,1320,1620,1920,,,,,,1050,150,150,150,150,150,150,150,,,,,
29,tak,,USTRONNA,,2,GN 41-50,10,10,2000,1000,600,100,300,500,700,900,1100,1300,1500,1700,1900,,,1050,150,150,150,150,150,150,150,150,150,150,,
30,tak,,USTRONNA,,2,GN 31-40,10,10,2000,1000,600,100,300,500,700,900,1100,1300,1500,1700,1900,,,1050,150,150,150,150,150,150,150,150,150,150,,
31,tak,,USTRONNA,,2,GI,10,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
32,tak,,USTRONNA,,2,GH 51-60,10,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
33,tak,,USTRONNA,,2,GN 21-30,10,10,2000,1000,600,100,300,500,700,900,1100,1300,1500,1700,1900,,,1050,150,150,150,150,150,150,150,150,150,150,,
34,tak,,USTRONNA,,2,GN 11-20,10,10,2000,1000,600,100,300,500,700,900,1100,1300,1500,1700,1900,,,1050,150,150,150,150,150,150,150,150,150,150,,
35,tak,,USTRONNA,,2,GS,11,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
36,tak,,USTRONNA,,2,GT,11,6,2000,1000,600,100,550,1020,1480,1680,1880,,,,,,,1050,150,150,150,150,150,150,,,,,,
37,tak,wymiary przesla,USTRONNA,,2,RI,11,3,2000,1000,600,120,880,1580,,,,,,,,,,1050,150,150,150,,,,,,,,,
38,tak,wymiary przesla,USTRONNA,,2,RJ,2,3,2000,1000,600,150,920,1730,,,,,,,,,,1050,150,150,150,,,,,,,,,
39,tak,wymiary przesla,USTRONNA,,2,RV,9,3,2000,1000,600,120,880,1580,,,,,,,,,,1050,150,150,150,,,,,,,,,
40,tak,wymiary przesla,USTRONNA,,2,RK,6,3,2000,1000,600,120,880,1580,,,,,,,,,,1050,150,150,150,,,,,,,,,
41,tak,wymiary przesla,USTRONNA,,2,RK,2,3,2000,1000,600,150,920,1730,,,,,,,,,,1050,150,150,150,,,,,,,,,
42,tak,,USTRONNA,,2,RL,11,8,2000,1000,600,100,350,580,680,1020,1280,1620,1950,,,,,1050,150,150,150,150,150,150,150,150,,,,
43,tak,,USTRONNA,,2,RM,12,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
44,tak,,USTRONNA,pomiedzy MD-MC,2,ZAPAS MD-MC,4,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
45,tak,,USTRONNA,,2,MD,12,10,2000,1000,600,100,290,480,680,880,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
46,tak,,USTRONNA,,2,ME 02-13,13,10,2000,1000,600,100,290,480,680,880,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
47,tak,,USTRONNA,,2,ME 21-33,13,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
48,tak,,USTRONNA,,2,MF 01-11,11,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
49,tak,,USTRONNA,,2,MF 21-31,10,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
50,tak,,USTRONNA,,2,MG 01-11,11,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
51,tak,,USTRONNA,,2,MG 21-33,13,7,2000,1000,600,100,550,1020,1350,1550,1750,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
52,tak,,USTRONNA,,2,MH 01-13,13,7,2000,1000,600,100,550,1020,1350,1550,1750,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
53,tak,,USTRONNA,,2,MH 31-33,13,9,2000,1000,600,100,350,620,880,1050,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
54,tak,,USTRONNA,,2,MI 01-13,13,9,2000,1000,600,100,350,620,880,1050,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
55,tak,,USTRONNA,,2,MI 22-33,12,8,2000,1000,600,100,350,620,880,1150,1420,1680,1950,,,,,1050,150,150,150,150,150,150,150,150,,,,
56,tak,,USTRONNA,,2,MJ 01-13,13,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
57,tak,,USTRONNA,,2,MJ 21-33,13,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
58,tak,,USTRONNA,,2,MK 01-13,13,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
59,tak,,USTRONNA,,2,MS,12,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
60,tak,,USTRONNA,,2,OF,5,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
61,tak,,USTRONNA,MAGAZYN BATERII,1,XJ,2,0+3,2000,1000,600,700,1350,1900,,,,,,,,,,1050,150,150,150,,,,,,,,,
62,tak,,USTRONNA,CHEMIA,1,IN 11-16,6,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
63,tak,,USTRONNA,CHEMIA,1,IN 01-03,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
64,tak,,USTRONNA,CHEMIA,1,IN 04-05,2,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
65,tak,,USTRONNA,CHEMIA,1,IM11-13,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
66,tak,,USTRONNA,CHEMIA,1,IM14-15,2,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
67,tak,,USTRONNA,CHEMIA,1,IM 01-03,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
68,tak,,USTRONNA,CHEMIA,1,IM 04-06,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
69,tak,,USTRONNA,CHEMIA,1,IL 11-13,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
70,tak,,USTRONNA,CHEMIA,1,IL 14-16,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
71,tak,,USTRONNA,CHEMIA,1,IL 01-03,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
72,tak,,USTRONNA,CHEMIA,1,IL 04-06,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
73,tak,,USTRONNA,CHEMIA,1,IK 11-13,3,10,2000,1000,600,140,350,550,750,950,1050,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
74,tak,,USTRONNA,CHEMIA,1,IK 14-15,2,10,2000,1000,600,140,350,550,750,950,1050,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
75,tak,,USTRONNA,CHEMIA,1,IK 01-03,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
76,tak,,USTRONNA,CHEMIA,1,IK 05-06,2,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
77,tak,,USTRONNA,,1,IJ 11-13,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
78,tak,,USTRONNA,,1,IJ 15-16,2,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
79,tak,,USTRONNA,,1,IJ 01-03,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
80,tak,,USTRONNA,,1,IJ 04-06,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
81,tak,,USTRONNA,,1,II 11-13,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
82,tak,,USTRONNA,,1,IJ 14-16,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
83,tak,,USTRONNA,,1,II 04-05,2,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
84,tak,,USTRONNA,,1,II 01-03,3,6,2000,1000,600,140,620,1080,1420,1680,1950,,,,,,,1050,150,150,150,150,150,150,,,,,,
85,tak,nazwa,USTRONNA,,1,II_QUE,3,10,2000,1000,600,140,350,550,750,950,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
86,tak,nazwa,USTRONNA,,1,II_QUE,2,10,2000,1000,600,140,350,550,750,950,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
87,tak,,USTRONNA,,1,IH 01-03,3,5,2000,1000,600,140,620,1080,1550,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
88,tak,,USTRONNA,,1,IH 04-06,3,5,2000,1000,600,140,620,1080,1550,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
89,tak,,USTRONNA,,1,IG11-13,3,5,2000,1000,600,140,620,1080,1550,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
90,tak,,USTRONNA,,1,IG13-16,3,5,2000,1000,600,140,620,1080,1550,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
91,tak,,USTRONNA,,1,IG 01-03,3,5,2000,1000,600,140,620,1080,1550,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
92,tak,,USTRONNA,,1,IG 04-06,3,5,2000,1000,600,140,620,1080,1550,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
93,tak,,USTRONNA,,1,IF 01-04,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
94,tak,,USTRONNA,,1,IF 05-07,3,7,2000,1000,600,140,480,820,1150,1420,1680,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
95,tak,brak wysokosci,USTRONNA,POD IF - BRAK OZNACZNIEA,1,IF_QUE,2,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
96,tak,brak wysokosci,USTRONNA,POD IF - BRAK OZNACZNIEA,1,IF_QUE,1,4,2000,1000,600,,,,,,,,,,,,,1050,,,,,,,,,,,,
97,tak,nazwa,USTRONNA,POD IF - BRAK OZNACZNIEA,1,IF_QUE,3,7,2000,1000,600,140,350,680,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
98,tak,nazwa,USTRONNA,,1,PRZY QUE,3,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
99,tak,nazwa,USTRONNA,,1,PRZY QUE,3,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
100,tak,brak jedne wysokosci,USTRONNA,,1,TC 02-10,10,6,2000,1000,600,50,380,700,1350,1680,1960,,,,,,,1050,150,150,150,150,150,150,,,,,,
101,tak,,USTRONNA,,1,TD,10,8,2000,1000,600,50,350,650,950,1250,1550,1800,1970,,,,,1050,150,150,150,150,150,150,150,150,,,,
102,tak,,USTRONNA,,1,DR 01-06,7,12,2000,1000,600,50,220,400,570,750,920,1100,1270,1450,1620,1790,1980,1050,150,150,150,150,150,150,150,150,150,150,150,150
103,tak,,USTRONNA,,1,DQ,8,8,2000,1000,600,50,350,650,950,1250,1550,1800,1970,,,,,1050,150,150,150,150,150,150,150,150,,,,
104,tak,,USTRONNA,,1,DQ 01,9,9,2000,1000,600,50,300,550,800,1050,1300,1550,1800,1980,,,,1050,150,150,150,150,150,150,150,150,150,,,
105,tak,,USTRONNA,,1,DO 21-29,8,12,2000,1000,600,50,230,400,570,750,920,1100,1270,1450,1620,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
106,tak,,USTRONNA,,1,DO 01-09,9,12,2000,1000,600,50,230,400,570,750,920,1100,1270,1450,1620,1800,1970,1050,150,150,150,150,150,150,150,150,150,150,150,150
107,tak,,USTRONNA,,1,DM 01-07,9,8,2000,1000,600,50,350,650,950,1250,1550,1790,1970,,,,,1050,150,150,150,150,150,150,150,150,,,,
108,tak,,USTRONNA,,1,DL 01-09,9,10,2000,1000,600,100,280,480,680,880,1050,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
109,tak,,USTRONNA,,1,DD 01-04,4,8,2000,1000,600,100,350,620,890,1150,1420,1690,1950,,,,,1050,150,150,150,150,150,150,150,150,,,,
110,tak,,USTRONNA,,1,DE 01-08,8,9,2000,1000,600,100,350,620,890,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
111,tak,,USTRONNA,,1,KV 01-07,7,5,2000,1000,600,100,560,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
112,tak,,USTRONNA,,1,KQ 01-25,5,5,2000,1000,600,100,560,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
113,tak,,USTRONNA,,1,KP 11,5,5,2000,1000,600,100,560,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
114,tak,,USTRONNA,,1,KO,9,5,2000,1000,600,100,560,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
115,tak,,USTRONNA,,1,KK,9,5,2000,1000,600,100,560,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
116,tak,,USTRONNA,,1,KI,1,5,2000,1000,600,100,560,1030,1500,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
117,tak,,USTRONNA,,1,KZ 10-14,5,9,2000,1000,600,100,350,620,890,1050,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
118,tak,,USTRONNA,,1,DP 09-13,5,12,2000,1000,600,50,220,400,580,750,920,1100,1280,1450,1620,1790,1950,1050,150,150,150,150,150,150,150,150,150,150,150,150
119,tak,,USTRONNA,,1,DP 14-16,3,12,2000,1000,600,50,220,400,580,750,920,1100,1280,1450,1620,1790,1950,1050,150,150,150,150,150,150,150,150,150,150,150,150
120,tak,,USTRONNA,,1,KI 11-12,2,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
121,tak,,USTRONNA,,1,HZ 09-12,4,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
122,tak,,USTRONNA,,1,HZ 13-16,4,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
123,tak,,USTRONNA,,1,HR 01-10,10,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
124,tak,,USTRONNA,,1,HN 01-07,5,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
125,tak,,USTRONNA,,1,HN 06-10,5,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
126,tak,,USTRONNA,,1,HL 00,1,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
127,tak,,USTRONNA,,1,HJ 01,10,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
128,tak,,USTRONNA,,1,HH 01,10,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
129,tak,,USTRONNA,,1,HE 01,5,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
130,tak,,USTRONNA,,1,HE 06-09,5,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
131,tak,,USTRONNA,,1,BJ,9,10,2000,1000,600,100,280,480,680,880,1080,1280,1480,1680,1880,,,1050,150,150,150,150,150,150,150,150,150,150,,
132,tak,,USTRONNA,,1,BI,9,7,2000,1000,600,50,380,700,1030,1350,1680,1970,,,,,,1050,150,150,150,150,150,150,150,,,,,
133,tak,,USTRONNA,,1,BH,9,5,2000,1000,600,50,550,1030,1520,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
134,tak,,USTRONNA,,1,BG,9,9,2000,1000,600,50,300,550,800,1050,1300,1550,1780,1940,,,,1050,150,150,150,150,150,150,150,150,150,,,
135,tak,,USTRONNA,,1,BF,8,7,2000,1000,600,50,380,700,1030,1350,1680,1970,,,,,,1050,150,150,150,150,150,150,150,,,,,
136,tak,,USTRONNA,,1,BE,8,5,2000,1000,600,50,550,1030,1520,1970,,,,,,,,1050,150,150,150,150,150,,,,,,,
137,tak,,USTRONNA,,1,BD,8,7,2000,1000,600,50,380,700,1030,1350,1680,1970,,,,,,1050,150,150,150,150,150,150,150,,,,,
138,tak,,USTRONNA,,1,BC,7,10,2000,1000,600,50,300,500,700,930,1150,1350,1570,1780,1980,,,1050,150,150,150,150,150,150,150,150,150,150,,
139,tak,,USTRONNA,,1,AS,9,10,2000,1000,600,50,280,500,730,950,1180,1380,1570,1780,1980,,,1050,150,150,150,150,150,150,150,150,150,150,,
140,tak,,USTRONNA,,1,AO,9,10,2000,1000,600,100,280,480,680,880,1080,1280,1490,1680,1880,,,1050,150,150,150,150,150,150,150,150,150,150,,
141,tak,,USTRONNA,,1,AK,9,9,2000,1000,600,100,350,620,820,1020,1220,1420,1680,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
142,tak,,USTRONNA,,1,AF,8,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
143,tak,,USTRONNA,,1,SX,7,9,2000,1000,600,100,350,620,820,1020,1220,1420,1680,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
144,tak,,USTRONNA,,1,SW,9,10,2000,1000,600,100,280,480,680,880,1080,1280,1480,1680,1880,,,1050,150,150,150,150,150,150,150,150,150,150,,
145,tak,,USTRONNA,,1,SM,9,10,2000,1000,600,100,280,480,680,880,1080,1280,1480,1680,1880,,,1050,150,150,150,150,150,150,150,150,150,150,,
146,tak,,USTRONNA,,1,SL 21-29,9,10,2000,1000,600,100,280,480,680,880,1080,1280,1480,1680,1880,,,1050,150,150,150,150,150,150,150,150,150,150,,
147,tak,,USTRONNA,,1,SL 01-09,10,9,2000,1000,600,100,330,550,780,1020,1250,1480,1700,1940,,,,1050,150,150,150,150,150,150,150,150,150,,,
148,tak,,USTRONNA,,1,SK 21-30,10,9,2000,1000,600,100,330,550,780,1020,1250,1480,1700,1940,,,,1050,150,150,150,150,150,150,150,150,150,,,
149,tak,,USTRONNA,,1,FA,3,9,2000,1000,600,100,350,620,820,1020,1220,1420,1680,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
150,tak,,USTRONNA,,1,FB,6,7,2000,1000,600,50,350,700,1020,1350,1570,1970,,,,,,1050,150,150,150,150,150,150,150,,,,,
151,tak,,USTRONNA,,1,FC 01-08,8,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
152,tak,,USTRONNA,,1,FD 01-07,7,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
153,tak,,USTRONNA,,1,FE 01-08,8,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
154,tak,,USTRONNA,,1,FF,8,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
155,tak,,USTRONNA,,1,FG,8,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
156,tak,,USTRONNA,,1,FH 01-08,8,5,2000,1000,600,100,550,1020,1480,1950,,,,,,,,1050,150,150,150,150,150,,,,,,,
157,tak,,USTRONNA,,1,FI 02-08,7,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
158,tak,,USTRONNA,,1,FJ 02-08,7,7,2000,1000,600,100,420,750,1020,1280,1620,1950,,,,,,1050,150,150,150,150,150,150,150,,,,,
159,tak,,USTRONNA,,1,FK,5,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
160,tak,,USTRONNA,,1,FV 91-98,7,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
161,tak,,USTRONNA,,1,FV 84-88,7,9,2000,1000,600,100,350,620,880,1150,1350,1550,1750,1950,,,,1050,150,150,150,150,150,150,150,150,150,,,
162,tak,,USTRONNA,,1,FN 01-08,8,10,2000,1000,600,100,280,480,680,880,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
163,tak,,USTRONNA,,1,FO 01-08,8,10,2000,1000,600,100,280,480,680,880,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
164,tak,,USTRONNA,,1,FP 01-07,7,10,2000,1000,600,100,280,480,680,880,1150,1350,1550,1750,1950,,,1050,150,150,150,150,150,150,150,150,150,150,,
